date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-10,California,State,Total,160.0,100.0,506.42857142857,100.0
2021-01-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-10,California,State,Other,69.0,43.12,220.85714285714,43.61071932299
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-10,California,State,Omicron,1.0,0.62,0.85714285714,0.169252468265
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-11,California,State,Alpha,8.0,1.42,7.14285714285,1.754385964912
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Delta,2.0,0.35,1.14285714285,0.280701754386
2021-01-11,California,State,Omicron,2.0,0.35,1.14285714285,0.280701754386
2021-01-11,California,State,Epsilon,272.0,48.14,216.42857142857,53.157894736842
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.035087719298
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.035087719298
2021-01-11,California,State,Other,279.0,49.38,181.0,44.456140350877
2021-01-11,California,State,Total,565.0,100.0,407.14285714285,100.0
2021-01-12,California,State,Alpha,9.0,1.62,6.14285714285,1.640595192675
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.038153376574
2021-01-12,California,State,Omicron,0.0,0.0,1.14285714285,0.305227012591
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.038153376574
2021-01-12,California,State,Delta,1.0,0.18,1.28571428571,0.343380389164
2021-01-12,California,State,Other,241.0,43.42,165.0,44.06714994277
2021-01-12,California,State,Epsilon,303.0,54.59,200.42857142857,53.529187333079
2021-01-12,California,State,Total,555.0,100.0,374.42857142857,100.0
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.038153376574
2021-01-13,California,State,Other,212.0,40.69,173.28571428571,43.63309352518
2021-01-13,California,State,Omicron,2.0,0.38,1.14285714285,0.287769784173
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.035971223022
2021-01-13,California,State,Alpha,9.0,1.73,7.0,1.762589928058
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.035971223022
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.035971223022
2021-01-13,California,State,Epsilon,297.0,57.01,214.28571428571,53.956834532374
2021-01-13,California,State,Total,521.0,100.0,397.14285714285,100.0
2021-01-13,California,State,Delta,1.0,0.19,1.0,0.251798561151
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031786395423
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Total,664.0,100.0,449.42857142857,100.0
2021-01-14,California,State,Omicron,0.0,0.0,0.85714285714,0.190718372537
2021-01-14,California,State,Other,234.0,35.24,188.57142857142,41.958041958042
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.222504767959
2021-01-14,California,State,Epsilon,416.0,62.65,251.71428571428,56.007628734901
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031786395423
2021-01-14,California,State,Alpha,14.0,2.11,6.85714285714,1.525746980292
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031786395423
2021-01-15,California,State,Other,238.0,41.9,213.28571428571,41.855901317634
2021-01-15,California,State,Delta,2.0,0.35,1.0,0.196243341744
2021-01-15,California,State,Alpha,8.0,1.41,7.71428571428,1.513877207738
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.028034763106
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.028034763106
2021-01-15,California,State,Omicron,0.0,0.0,0.85714285714,0.168208578638
2021-01-15,California,State,Epsilon,320.0,56.34,286.28571428571,56.181665264929
2021-01-15,California,State,Total,568.0,100.0,509.57142857142,100.0
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.028034763106
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.026546323334
2021-01-16,California,State,Omicron,0.0,0.0,0.71428571428,0.132731616671
2021-01-16,California,State,Delta,0.0,0.0,0.85714285714,0.159277940005
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.026546323334
2021-01-16,California,State,Epsilon,388.0,52.86,298.0,55.375630475179
2021-01-16,California,State,Total,734.0,100.0,538.14285714285,100.0
2021-01-16,California,State,Other,329.0,44.82,228.85714285714,42.527209981418
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.026546323334
2021-01-16,California,State,Alpha,17.0,2.32,9.28571428571,1.725511016724
2021-01-17,California,State,Total,314.0,100.0,560.14285714285,100.0
2021-01-17,California,State,Omicron,0.0,0.0,0.57142857142,0.102014792145
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.025503698036
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.051007396072
2021-01-17,California,State,Other,128.0,40.76,237.28571428571,42.361642438154
2021-01-17,California,State,Alpha,3.0,0.96,9.71428571428,1.734251466463
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.025503698036
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-17,California,State,Epsilon,182.0,57.96,311.14285714285,55.547054322877
2021-01-17,California,State,Delta,0.0,0.0,0.85714285714,0.153022188217
2021-01-18,California,State,Delta,1.0,0.13,0.71428571428,0.121862052157
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-18,California,State,Other,303.0,40.56,240.71428571428,41.067511576895
2021-01-18,California,State,Alpha,13.0,1.74,10.42857142857,1.779185961492
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.048744820863
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Epsilon,430.0,57.56,333.71428571428,56.933950767731
2021-01-18,California,State,Total,747.0,100.0,586.14285714285,100.0
2021-01-18,California,State,Omicron,0.0,0.0,0.28571428571,0.048744820863
2021-01-19,California,State,Other,516.0,42.57,280.0,41.176470588235
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Alpha,19.0,1.57,11.85714285714,1.743697478992
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Omicron,1.0,0.08,0.42857142857,0.063025210084
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.021008403361
2021-01-19,California,State,Delta,1.0,0.08,0.71428571428,0.105042016807
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-19,California,State,Total,1212.0,100.0,680.0,100.0
2021-01-19,California,State,Epsilon,675.0,55.69,386.85714285714,56.890756302521
2021-01-20,California,State,Other,78.0,31.2,260.85714285714,40.677210960125
2021-01-20,California,State,Total,250.0,100.0,641.28571428571,100.0
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Omicron,0.0,0.0,0.14285714285,0.02227667632
2021-01-20,California,State,Alpha,15.0,6.0,12.71428571428,1.98262419247
2021-01-20,California,State,Gamma,1.0,0.4,0.28571428571,0.04455335264
2021-01-20,California,State,Delta,0.0,0.0,0.57142857142,0.08910670528
2021-01-20,California,State,Epsilon,156.0,62.4,366.71428571428,57.184228113166
2021-01-21,California,State,Alpha,27.0,30.68,14.57142857142,2.606695629951
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
